YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2002,AFG,3,-125,41
2002,AFG,1,-9.600000000000003,24
2002,AFG,4,-332.9,46
2002,AFG,2,0,0
2002,AGO,4,-5,1
2002,AGO,1,0,0
2002,AGO,2,0,0
2002,AGO,3,0,0
2002,ARE,1,0,0
2002,ARE,2,0,0
2002,ARE,3,0,0
2002,ARE,4,0,0
2002,ARG,4,-10,2
2002,ARG,3,-15,3
2002,ARG,2,-4,2
2002,ARG,1,0,0
2002,ARM,4,-105.4,14
2002,ARM,3,-40,17
2002,ARM,1,0,0
2002,ARM,2,0,0
2002,ATG,1,0,0
2002,ATG,2,0,0
2002,ATG,3,0,0
2002,ATG,4,0,0
2002,AUS,1,-5.999999999999999,17
2002,AUS,2,-18,9
2002,AUS,3,-375.40000000000003,96
2002,AUS,4,-370.2,61
2002,AUT,4,-30,6
2002,AUT,3,-27,9
2002,AUT,2,-2,1
2002,AUT,1,0,0
2002,AZE,3,-13,2
2002,AZE,1,0,0
2002,AZE,2,0,0
2002,AZE,4,0,0
2002,BEL,1,-1.6,4
2002,BEL,3,-4,2
2002,BEL,4,-15,3
2002,BEL,2,-4,2
2002,BGD,1,-1.2000000000000002,3
2002,BGD,4,-40,4
2002,BGD,3,-14,4
2002,BGD,2,0,0
2002,BGR,1,0,0
2002,BGR,2,0,0
2002,BGR,3,0,0
2002,BGR,4,0,0
2002,BHR,3,-14,4
2002,BHR,1,0,0
2002,BHR,2,0,0
2002,BHR,4,0,0
2002,BIH,1,0,0
2002,BIH,2,0,0
2002,BIH,3,0,0
2002,BIH,4,0,0
2002,BLR,3,-5,1
2002,BLR,1,0,0
2002,BLR,2,0,0
2002,BLR,4,0,0
2002,BMU,1,0,0
2002,BMU,2,0,0
2002,BMU,3,0,0
2002,BMU,4,0,0
2002,BOL,1,0,0
2002,BOL,2,0,0
2002,BOL,3,0,0
2002,BOL,4,0,0
2002,BRA,3,-10,5
2002,BRA,4,-41,7
2002,BRA,1,0,0
2002,BRA,2,0,0
2002,BRN,4,-92.8,12
2002,BRN,3,-8,4
2002,BRN,1,0,0
2002,BRN,2,0,0
2002,BWA,1,0,0
2002,BWA,2,0,0
2002,BWA,3,0,0
2002,BWA,4,0,0
2002,CAN,4,-274,48
2002,CAN,1,-1.1,5
2002,CAN,3,-89.5,23
2002,CAN,2,0,0
2002,CHE,2,-14,7
2002,CHE,3,-189,36
2002,CHE,1,-2.7,7
2002,CHE,4,-219,37
2002,CHL,4,-15,3
2002,CHL,3,-4,2
2002,CHL,2,-6,3
2002,CHL,1,0,0
2002,CMR,1,0,0
2002,CMR,2,0,0
2002,CMR,3,0,0
2002,CMR,4,0,0
2002,COD,4,-20,2
2002,COD,1,-2,5
2002,COD,2,0,0
2002,COD,3,0,0
2002,COG,1,-0.4,1
2002,COG,2,0,0
2002,COG,3,0,0
2002,COG,4,0,0
2002,COL,1,-0.3,1
2002,COL,3,-6,3
2002,COL,4,-20,4
2002,COL,2,0,0
2002,CRI,3,-16,4
2002,CRI,1,0,0
2002,CRI,2,0,0
2002,CRI,4,0,0
2002,CUB,4,-62,9
2002,CUB,1,-7.6000000000000005,7
2002,CUB,3,-10,4
2002,CUB,2,0,0
2002,CYM,1,0,0
2002,CYM,2,0,0
2002,CYM,3,0,0
2002,CYM,4,0,0
2002,CYP,4,-7.2,1
2002,CYP,1,0,0
2002,CYP,2,0,0
2002,CYP,3,0,0
2002,CZE,3,-6.5,1
2002,CZE,4,-30,6
2002,CZE,1,0,0
2002,CZE,2,0,0
2002,DEU,3,-206,57
2002,DEU,1,-6.900000000000003,19
2002,DEU,4,-167.3,28
2002,DEU,2,-16,8
2002,DJI,1,0,0
2002,DJI,2,0,0
2002,DJI,3,0,0
2002,DJI,4,0,0
2002,DNK,3,-7,2
2002,DNK,4,-18,3
2002,DNK,1,0,0
2002,DNK,2,0,0
2002,DOM,1,0,0
2002,DOM,2,0,0
2002,DOM,3,0,0
2002,DOM,4,0,0
2002,DZA,4,-20,2
2002,DZA,2,-14,7
2002,DZA,1,-2.8,7
2002,DZA,3,0,0
2002,ECU,1,0,0
2002,ECU,2,0,0
2002,ECU,3,0,0
2002,ECU,4,0,0
2002,EGY,4,-98.5,12
2002,EGY,3,-44,13
2002,EGY,1,-5.200000000000001,5
2002,EGY,2,0,0
2002,ESP,3,-49.5,8
2002,ESP,4,-40,6
2002,ESP,1,0,0
2002,ESP,2,0,0
2002,EST,3,-4,2
2002,EST,1,0,0
2002,EST,2,0,0
2002,EST,4,0,0
2002,ETH,3,-5,1
2002,ETH,1,0,0
2002,ETH,2,0,0
2002,ETH,4,0,0
2002,FIN,4,-5,1
2002,FIN,3,-2,1
2002,FIN,2,-4,2
2002,FIN,1,0,0
2002,FJI,1,-6,3
2002,FJI,4,-10,1
2002,FJI,2,0,0
2002,FJI,3,0,0
2002,FRA,2,-12,6
2002,FRA,1,-3.599999999999999,11
2002,FRA,3,-365.79999999999995,84
2002,FRA,4,-262,40
2002,FSM,1,-5.2,5
2002,FSM,2,0,0
2002,FSM,3,0,0
2002,FSM,4,0,0
2002,GAB,1,0,0
2002,GAB,2,0,0
2002,GAB,3,0,0
2002,GAB,4,0,0
2002,GBR,1,-4.3999999999999995,11
2002,GBR,4,-600,93
2002,GBR,3,-362.0999999999999,99
2002,GBR,2,-14,7
2002,GEO,1,0,0
2002,GEO,2,0,0
2002,GEO,3,0,0
2002,GEO,4,0,0
2002,GHA,1,0,0
2002,GHA,2,0,0
2002,GHA,3,0,0
2002,GHA,4,0,0
2002,GIN,4,-8,2
2002,GIN,2,-4,2
2002,GIN,1,0,0
2002,GIN,3,0,0
2002,GNB,4,-12,3
2002,GNB,1,0,0
2002,GNB,2,0,0
2002,GNB,3,0,0
2002,GRC,3,-4,2
2002,GRC,1,0,0
2002,GRC,2,0,0
2002,GRC,4,0,0
2002,GUY,3,-2,1
2002,GUY,1,0,0
2002,GUY,2,0,0
2002,GUY,4,0,0
2002,HKG,3,-4,2
2002,HKG,1,0,0
2002,HKG,2,0,0
2002,HKG,4,0,0
2002,HND,1,0,0
2002,HND,2,0,0
2002,HND,3,0,0
2002,HND,4,0,0
2002,HRV,4,-27,6
2002,HRV,3,-58.9,14
2002,HRV,1,0,0
2002,HRV,2,0,0
2002,HTI,2,-8,4
2002,HTI,1,0,0
2002,HTI,3,0,0
2002,HTI,4,0,0
2002,HUN,4,-18,3
2002,HUN,3,-15,5
2002,HUN,1,0,0
2002,HUN,2,0,0
2002,IDN,1,-5.6000000000000005,10
2002,IDN,4,-122.2,20
2002,IDN,3,-348.7,92
2002,IDN,2,-2,1
2002,IND,3,-119.80000000000001,25
2002,IND,1,-4.7,8
2002,IND,4,-205.5,24
2002,IND,2,0,0
2002,IRL,1,-4.8,4
2002,IRL,4,-20,3
2002,IRL,3,-30.4,8
2002,IRL,2,0,0
2002,IRN,1,-3.5999999999999996,9
2002,IRN,4,-75,11
2002,IRN,3,-71,28
2002,IRN,2,-6,3
2002,IRQ,2,-178,89
2002,IRQ,4,-314.79999999999995,39
2002,IRQ,3,-627.7999999999997,153
2002,IRQ,1,-12.800000000000006,36
2002,ISL,3,-12,3
2002,ISL,1,0,0
2002,ISL,2,0,0
2002,ISL,4,0,0
2002,ISR,3,-400,152
2002,ISR,4,-740.5,92
2002,ISR,2,-18,9
2002,ISR,1,-23.400000000000002,68
2002,ITA,3,-35,7
2002,ITA,4,-173,18
2002,ITA,2,-8,4
2002,ITA,1,0,0
2002,JAM,1,0,0
2002,JAM,2,0,0
2002,JAM,3,0,0
2002,JAM,4,0,0
2002,JOR,4,-29.5,3
2002,JOR,2,-4,2
2002,JOR,1,0,0
2002,JOR,3,0,0
2002,JPN,3,-2391.400000000003,689
2002,JPN,2,-152,76
2002,JPN,1,-94,138
2002,JPN,4,-2290.8,359
2002,KAZ,4,-139.60000000000002,19
2002,KAZ,1,-5.600000000000001,10
2002,KAZ,2,-12,6
2002,KAZ,3,-42.4,11
2002,KEN,3,-6,3
2002,KEN,2,-6,3
2002,KEN,4,-54,9
2002,KEN,1,0,0
2002,KGZ,3,-217.50000000000003,52
2002,KGZ,2,-20,10
2002,KGZ,4,-1470.3000000000002,171
2002,KGZ,1,-2,5
2002,KHM,1,-1.6,4
2002,KHM,3,-27,7
2002,KHM,4,-114.2,21
2002,KHM,2,-2,1
2002,KOR,3,-790,203
2002,KOR,1,-36.199999999999996,56
2002,KOR,2,-106,53
2002,KOR,4,-996.0999999999999,140
2002,KWT,4,-8,1
2002,KWT,3,-15,3
2002,KWT,1,0,0
2002,KWT,2,0,0
2002,LAO,3,-8,4
2002,LAO,1,-0.8,2
2002,LAO,2,0,0
2002,LAO,4,0,0
2002,LBN,4,-10,2
2002,LBN,3,-25,5
2002,LBN,1,0,0
2002,LBN,2,0,0
2002,LBR,1,0,0
2002,LBR,2,0,0
2002,LBR,3,0,0
2002,LBR,4,0,0
2002,LKA,3,-2,1
2002,LKA,1,-1.6,4
2002,LKA,4,-20,2
2002,LKA,2,0,0
2002,LTU,4,-35,5
2002,LTU,3,-26,4
2002,LTU,1,0,0
2002,LTU,2,0,0
2002,LUX,1,0,0
2002,LUX,2,0,0
2002,LUX,3,0,0
2002,LUX,4,0,0
2002,LVA,3,-30,6
2002,LVA,1,0,0
2002,LVA,2,0,0
2002,LVA,4,0,0
2002,MAC,3,-20.8,7
2002,MAC,2,-4,2
2002,MAC,1,-0.4,2
2002,MAC,4,-20,4
2002,MAR,4,-5,1
2002,MAR,2,-16,8
2002,MAR,3,-17,4
2002,MAR,1,-0.6,2
2002,MDA,4,-64,8
2002,MDA,3,-24,11
2002,MDA,1,0,0
2002,MDA,2,0,0
2002,MDG,3,-5,1
2002,MDG,1,-0.8,2
2002,MDG,2,0,0
2002,MDG,4,0,0
2002,MEX,3,-37.99999999999999,13
2002,MEX,4,-15,3
2002,MEX,1,0,0
2002,MEX,2,0,0
2002,MKD,4,-8,2
2002,MKD,3,-10,2
2002,MKD,1,0,0
2002,MKD,2,0,0
2002,MLI,1,0,0
2002,MLI,2,0,0
2002,MLI,3,0,0
2002,MLI,4,0,0
2002,MLT,1,0,0
2002,MLT,2,0,0
2002,MLT,3,0,0
2002,MLT,4,0,0
2002,MMR,1,-2,5
2002,MMR,3,-54.699999999999996,17
2002,MMR,4,-231.79999999999995,30
2002,MMR,2,-12,6
2002,MNE,1,0,0
2002,MNE,2,0,0
2002,MNE,3,0,0
2002,MNE,4,0,0
2002,MNG,4,-117,23
2002,MNG,3,-80.2,32
2002,MNG,1,-4.800000000000001,4
2002,MNG,2,0,0
2002,MOZ,1,0,0
2002,MOZ,2,0,0
2002,MOZ,3,0,0
2002,MOZ,4,0,0
2002,MUS,1,0,0
2002,MUS,2,0,0
2002,MUS,3,0,0
2002,MUS,4,0,0
2002,MWI,1,0,0
2002,MWI,2,0,0
2002,MWI,3,0,0
2002,MWI,4,0,0
2002,MYS,4,-108.2,19
2002,MYS,3,-132.40000000000003,38
2002,MYS,2,-6,3
2002,MYS,1,-1.7000000000000002,5
2002,NAM,4,-89.5,10
2002,NAM,3,-14,7
2002,NAM,1,0,0
2002,NAM,2,0,0
2002,NER,1,0,0
2002,NER,2,0,0
2002,NER,3,0,0
2002,NER,4,0,0
2002,NGA,4,-39,4
2002,NGA,2,-18,9
2002,NGA,3,-35.8,14
2002,NGA,1,-1.2000000000000002,3
2002,NIC,3,-2,1
2002,NIC,1,0,0
2002,NIC,2,0,0
2002,NIC,4,0,0
2002,NLD,1,-0.5,5
2002,NLD,4,-195,39
2002,NLD,3,-24.9,9
2002,NLD,2,0,0
2002,NOR,3,-21,6
2002,NOR,1,0,0
2002,NOR,2,0,0
2002,NOR,4,0,0
2002,NPL,4,-89.5,9
2002,NPL,2,-2,1
2002,NPL,3,-81.60000000000001,25
2002,NPL,1,0,0
2002,NZL,1,-2,5
2002,NZL,3,-34,11
2002,NZL,4,-131.60000000000002,19
2002,NZL,2,0,0
2002,OMN,1,0,0
2002,OMN,2,0,0
2002,OMN,3,0,0
2002,OMN,4,0,0
2002,PAK,3,-226.50000000000003,58
2002,PAK,4,-361.19999999999993,41
2002,PAK,1,-28.599999999999987,50
2002,PAK,2,0,0
2002,PAN,3,-27.6,9
2002,PAN,4,-16,4
2002,PAN,1,0,0
2002,PAN,2,0,0
2002,PER,1,0,0
2002,PER,2,0,0
2002,PER,3,0,0
2002,PER,4,0,0
2002,PHL,4,-651.4000000000001,119
2002,PHL,3,-287.2,94
2002,PHL,2,-6,3
2002,PHL,1,-3.9,10
2002,PNG,3,-9,2
2002,PNG,4,-10,2
2002,PNG,1,0,0
2002,PNG,2,0,0
2002,POL,4,-30,6
2002,POL,1,0,0
2002,POL,2,0,0
2002,POL,3,0,0
2002,PRK,2,-144,72
2002,PRK,1,-40.999999999999986,71
2002,PRK,3,-893.3999999999996,251
2002,PRK,4,-2309.7000000000007,379
2002,PRT,3,-5,1
2002,PRT,1,0,0
2002,PRT,2,0,0
2002,PRT,4,0,0
2002,PRY,3,-4,2
2002,PRY,1,0,0
2002,PRY,2,0,0
2002,PRY,4,0,0
2002,QAT,3,-6,3
2002,QAT,1,0,0
2002,QAT,2,0,0
2002,QAT,4,0,0
2002,ROM,1,0,0
2002,ROM,2,0,0
2002,ROM,3,0,0
2002,ROM,4,0,0
2002,RUS,2,-106,53
2002,RUS,3,-1181.6000000000001,338
2002,RUS,1,-51.399999999999935,96
2002,RUS,4,-1351.7000000000007,188
2002,RWA,1,0,0
2002,RWA,2,0,0
2002,RWA,3,0,0
2002,RWA,4,0,0
2002,SAU,4,-57.5,7
2002,SAU,3,-4,2
2002,SAU,1,0,0
2002,SAU,2,0,0
2002,SDN,3,-6,2
2002,SDN,1,0,0
2002,SDN,2,0,0
2002,SDN,4,0,0
2002,SEN,1,0,0
2002,SEN,2,0,0
2002,SEN,3,0,0
2002,SEN,4,0,0
2002,SGP,4,-77.2,15
2002,SGP,3,-42.4,17
2002,SGP,1,-3.6,5
2002,SGP,2,0,0
2002,SLE,1,0,0
2002,SLE,2,0,0
2002,SLE,3,0,0
2002,SLE,4,0,0
2002,SLV,1,0,0
2002,SLV,2,0,0
2002,SLV,3,0,0
2002,SLV,4,0,0
2002,SOM,1,0,0
2002,SOM,2,0,0
2002,SOM,3,0,0
2002,SOM,4,0,0
2002,SRB,3,-13,2
2002,SRB,4,-15,2
2002,SRB,1,0,0
2002,SRB,2,0,0
2002,SUR,4,-5,1
2002,SUR,1,0,0
2002,SUR,2,0,0
2002,SUR,3,0,0
2002,SVK,3,-26,7
2002,SVK,4,-5,1
2002,SVK,1,0,0
2002,SVK,2,0,0
2002,SVN,1,0,0
2002,SVN,2,0,0
2002,SVN,3,0,0
2002,SVN,4,0,0
2002,SWE,3,-10,2
2002,SWE,4,-25,5
2002,SWE,1,-0.8,2
2002,SWE,2,0,0
2002,SYR,2,-6,3
2002,SYR,1,0,0
2002,SYR,3,0,0
2002,SYR,4,0,0
2002,TCD,4,-4,1
2002,TCD,3,-5,1
2002,TCD,1,0,0
2002,TCD,2,0,0
2002,TGO,1,0,0
2002,TGO,2,0,0
2002,TGO,3,0,0
2002,TGO,4,0,0
2002,THA,4,-153.10000000000002,27
2002,THA,3,-85,24
2002,THA,1,-0.8,2
2002,THA,2,0,0
2002,TJK,2,-4,2
2002,TJK,3,-26.4,7
2002,TJK,1,-0.8,2
2002,TJK,4,-67.4,7
2002,TKM,3,-17,4
2002,TKM,4,-48,8
2002,TKM,1,0,0
2002,TKM,2,0,0
2002,TTO,1,0,0
2002,TTO,2,0,0
2002,TTO,3,0,0
2002,TTO,4,0,0
2002,TUN,3,-39,12
2002,TUN,1,-0.8,2
2002,TUN,2,0,0
2002,TUN,4,0,0
2002,TUR,1,-3.1999999999999997,8
2002,TUR,4,-75,10
2002,TUR,3,-85,16
2002,TUR,2,0,0
2002,TZA,3,-20,5
2002,TZA,1,0,0
2002,TZA,2,0,0
2002,TZA,4,0,0
2002,UGA,3,-8,4
2002,UGA,1,-0.4,1
2002,UGA,4,-38,8
2002,UGA,2,0,0
2002,UKR,2,-12,6
2002,UKR,4,-59,12
2002,UKR,3,-71,19
2002,UKR,1,-18.4,10
2002,URY,3,-4,2
2002,URY,1,0,0
2002,URY,2,0,0
2002,URY,4,0,0
2002,USA,2,-278,139
2002,USA,4,-3616.6999999999985,512
2002,USA,3,-4060.600000000007,1143
2002,USA,1,-137.2000000000001,264
2002,UZB,1,-2.6999999999999997,9
2002,UZB,2,-4,2
2002,UZB,3,-55.8,13
2002,UZB,4,-84,9
2002,VEN,3,-19,5
2002,VEN,1,0,0
2002,VEN,2,0,0
2002,VEN,4,0,0
2002,VNM,3,-245.80000000000004,73
2002,VNM,1,-0.8,2
2002,VNM,2,-12,6
2002,VNM,4,-1027.6,127
2002,VUT,1,0,0
2002,VUT,2,0,0
2002,VUT,3,0,0
2002,VUT,4,0,0
2002,YEM,4,-5,1
2002,YEM,1,0,0
2002,YEM,2,0,0
2002,YEM,3,0,0
2002,ZAF,4,-55,9
2002,ZAF,3,-35.5,8
2002,ZAF,1,0,0
2002,ZAF,2,0,0
2002,ZMB,3,-4,2
2002,ZMB,4,-20,4
2002,ZMB,1,0,0
2002,ZMB,2,0,0
2002,ZWE,3,-4,2
2002,ZWE,4,-80,14
2002,ZWE,1,-5.300000000000001,6
2002,ZWE,2,0,0