GLOBALEVENTID,MonthYear,Actor1CountryCode,Actor2CountryCode,QuadClass,EventCode,Actor1Code,Actor2Code,GoldsteinScale,YEAR
49918999,200312,CHN,AFG,4,173,CHN,AFGCOP,-5.0,2003
48878762,200310,CHN,AFG,4,173,CHN,AFG,-5.0,2003
49918997,200312,CHN,AFG,4,173,CHN,AFG,-5.0,2003
46269944,200304,CHN,AFG,4,194,CHN,AFG,-10.0,2003
48496921,200309,CHN,AFG,4,191,CHN,AFG,-9.5,2003
47867598,200307,CHN,AFG,3,112,CHN,AFG,-2.0,2003
47867599,200307,CHN,AFG,3,112,CHN,AFG,-2.0,2003
49918998,200312,CHN,AFG,4,173,CHN,AFGCOP,-5.0,2003
44612907,200301,CHN,AFG,4,161,CHN,AFGINSTALGOV,-4.0,2003
48496920,200309,CHN,AFG,4,191,CHN,AFG,-9.5,2003
45055560,200302,CHN,AFG,3,120,CHN,AFG,-4.0,2003
45055559,200302,CHN,AFG,3,120,CHN,AFG,-4.0,2003
48046262,200308,CHN,AFG,2,090,AFG,CHN,-2.0,2003
45765191,200303,CHN,AFG,4,193,CHN,AFG,-10.0,2003
48420766,200309,CHN,AFG,4,190,CHNGOV,AFG,-10.0,2003
46396024,200304,CHN,AFG,1,012,AFGGOVHLH,CHN,-0.4,2003
48878763,200310,CHN,AFG,4,173,CHN,AFG,-5.0,2003
48496922,200309,CHN,AFG,4,191,CHN,AFG,-9.5,2003
44987128,200301,CHN,AFG,4,173,AFG,CHN,-5.0,2003
49863519,200312,CHN,AFG,3,110,CHN,AFG,-2.0,2003
49918996,200312,CHN,AFG,4,173,CHN,AFG,-5.0,2003
45679982,200303,CHN,AFG,3,114,AFG,CHN,-2.0,2003
49863520,200312,CHN,AFG,3,110,CHN,AFG,-2.0,2003
49995288,200312,CHN,AFG,3,138,AFG,CHN,-7.0,2003
49635125,200311,CHN,AFG,4,173,AFG,CHN,-5.0,2003
49919000,200312,CHN,AFG,4,173,CHN,AFGCOP,-5.0,2003
50007989,200312,CHN,AFG,4,193,AFG,CHN,-10.0,2003
49635126,200311,CHN,AFG,4,173,AFG,CHN,-5.0,2003
50008994,200312,CHN,AFG,4,190,CHN,AFG,-10.0,2003
47867600,200307,CHN,AFG,3,112,CHN,AFG,-2.0,2003
50008993,200312,CHN,AFG,4,190,CHN,AFG,-10.0,2003
48419946,200309,CHN,AFG,4,190,AFG,CHNGOV,-10.0,2003
48046263,200308,CHN,AFG,2,090,AFG,CHN,-2.0,2003
49995287,200312,CHN,AFG,3,138,AFG,CHN,-7.0,2003
45679983,200303,CHN,AFG,3,114,AFG,CHN,-2.0,2003
45405852,200302,CHN,AFG,2,090,AFG,CHN,-2.0,2003
50007988,200312,CHN,AFG,4,193,AFG,CHN,-10.0,2003
45405853,200302,CHN,AFG,2,090,AFG,CHNBUS,-2.0,2003
48669205,200309,CHN,AFG,4,173,AFG,CHN,-5.0,2003
45405851,200302,CHN,AFG,2,090,AFG,CHN,-2.0,2003
46395917,200304,CHN,AFG,1,012,AFG,CHN,-0.4,2003